"Qty","Reference(s)","description","mfg1","mfg1pn","mfg2","mfg2pn"
"4","C1, C2, C3, C4","MLCC, 4.7 uF, 100 V, X7R, 1210","Samsung Electro-Mechanics","CL32B475KCVZNWE","",""
"2","C5, C9","MLCC, 10 uF, 50 V, X7R, 1210","Samsung Electro-Mechanics","CL32B106KBJNNNF","",""
"10","C6, C7, C8, C10, C12, C13, C14, C15, C16, C19","MLCC, 0.1 uF, 50 V, X7R, 0805","KEMET","C0805C104M5RACTU","",""
"1","C11","MLCC, 1 uF, 50 V, X7R, 0805","Samsung Electro-Mechanics","CL21B105KBFNFNE","",""
"2","C17, C18","MLCC, 47 pF, 50 V, C0G, 0805","KEMET","C0805C470J5GAC","",""
"1","C20","Film Capacitor, 50 uF, 450 VDC, 230 VAC","Cornell Dubilier - CDE","BLH506K451B104","",""
"4","D1, D2, D3, D4","Silicon rectifier diode, 10 A, 1000 V","Rectron","10A10-T","",""
"2","D5, D6","Schottky diode, 3 A, 450 mV forward","Rectron","FML340A-W","",""
"1","FB1","Ferrite Bead,470 Ohm, 700 mA, 0805","Bourns","MU2029-471Y","",""
"1","J2","","Samtec","FTSH-105-01-F-D-RA-K","",""
"1","J3","","Kobiconn","163-179PH-EX","",""
"1","J4","","On Shore Technology Inc.","USB-B1HSB6","",""
"4","Q1, Q2, Q3, Q4","","Microchip","APT95GR65B2","",""
"4","Q5, Q6, Q7, Q8","Transistor, NPN, general purpose, small signal, SOT-23 case","On Semiconductor","","",""
"2","R1, R2","Resistor, 100 kOhm, 0603","Panasonic","ERJ-3EKF1003V","",""
"1","R3","","Vishay Dale","WSLP5931L1000FEA ","",""
"8","R4, R5, R6, R7, R8, R9, R10, R11","Resistor, 220 Ohm, 0805","","","",""
"4","R12, R13, R14, R15","Resistor 470 ohm 0.1W 5% thick film SMT 0805","","","",""
"1","U1","","Microchip","ATSAMD21E18A-AU","",""
"1","U2","","STMicroelectronics","LD1117ADT33TR","",""
"2","U3, U4","","Microchip","MIC4604YM","",""
"1","U5","","Recom","R-78E5.0-0.5","",""
"1","U6","","FTDI","FT232RL","",""
"1","U7","","Texas Instruments","INA240A3D","Texas Instruments","INA240A3DR"
"1","U8","","Lite-On","LTC-5723HR","",""
"2","","","Ohmite","C60-075-VE","",""
"4","","","Ohmite","CLA-T247-21E","",""
